RuleID,Type,Scope,Trigger,InputFields,OutputFields,FormulaOrConstraint,Rounding,Limit,EffectiveFrom,EffectiveTo,Evidence,TestID,ImplRef,Notes,Gate
CALC-BP1-300,CALC,ASSET,장특공 계산 후,"derived.assets[].taxableTransferGain,derived.assets[].ltDeductionTaxable",BP1-018,양도소득금액(자산별) = 과세대상양도차익 - 과세대상 장특공 - 기타 조정(소득차감형 감면 등).,KRW_INT,,,,부표1 구조,T-BP1-300,,,Y
CALC-BP2-100,CALC,ASSET,주식 금액 입력,"BP2-010,BP2-013,BP2-014",BP2-015,주식 양도소득금액 = 양도가액 - 취득가액 - 필요경비.,KRW_INT,,,,부표2 산식,T-BP2-100,,,Y
CALC-DERIV-100,CALC,DERIV,파생 종목 입력,deriv.08..14,BP2-2-015,양도소득금액 = (⑧-⑨-⑪-⑫+⑬-⑭) (서식 산식 그대로).,KRW_INT,,,,PDF84 부표2의2 산식,T-DERIV-100,,,Y
CALC-DED-001,CALC,GLOBAL,합산 계산,derived.assets[],RET-84-070,"양도소득기본공제는 유형(국내/국외/주식/파생 등)별 250만원 버킷을 적용(최대 1,250만원)하고, 동일 버킷 내에서는 먼저 양도한 자산부터 배분.",KRW_INT,,,,PDF84 작성방법(기본공제/버킷),T-DED-001,,,Y
CALC-RET-040,CALC,GLOBAL,자산 합산,"BP1-018,BP2-015,BP2-2-015",RET-84-040,④ 양도소득금액 = 모든 자산별 양도소득금액 합계(세율구분별 집계 포함).,KRW_INT,,,,PDF84 작성방법,T-RET-040,,,Y
CALC-RET-080,CALC,GLOBAL,메인 계산,"RET-84-040,RET-84-050,RET-84-060,RET-84-070",RET-84-080,⑧ 과세표준 = (④ - ⑤ - ⑥) - ⑦.,KRW_INT,,,,메인 서식 산식,T-RET-080,,,Y
CALC-RET-100A,CALC,GLOBAL,산출세액 계산,RET-84-080,derived.main.taxA,A(가) = 과세표준 합계에 소득세법 제55조 누진세율 적용(룰팩 테이블).,KRW_INT,,,,PDF84 작성방법 8; 소득세법 제55조,T-RET-100A,,,Y
CALC-RET-100B,CALC,GLOBAL,산출세액 계산,"derived.assets[].rateApplied,derived.assets[].taxBaseByAsset",derived.main.taxB,B(나) = 자산별 산출세액 합계(소득세법 제104조 체계).,KRW_INT,,,,PDF84 작성방법 8; 소득세법 제104조,T-RET-100B,,,Y
CALC-RET-100,CALC,GLOBAL,산출세액 결정,"derived.main.taxA,derived.main.taxB",RET-84-100,"⑩ 산출세액 = max(A, B). 감면세액 차감 전/후 비교 규칙은 룰팩으로(서식/홈택스와 일치).",KRW_INT,,,,PDF84 작성방법 8(가/나),T-RET-100,,,Y
CALC-RELIEF-001,CALC,GLOBAL,감면 입력,userReliefs[],"RET-84-110,RET-84-060","감면은 (1) 세액감면방식, (2) 소득차감방식으로 분리. 사용자가 코드/율/대상금액을 확정하면 앱이 안분/한도/중복 검증 및 메인/부표 반영.",,,,,PDF84 부표1 ⑲~㉑ 및 작성방법; 조특법,T-RELIEF-001,,,Y
CALC-RET-150,CALC,GLOBAL,전자신고 공제,"userFlags.efile,RET-84-100,RET-84-110,RET-84-120..",RET-84-130,"전자신고세액공제 = 20,000원(단, 차감 후 잔액 초과 불가; 대리신고 제외).",,<= 산출세액-기공제,,,PDF84 작성방법 12,T-RET-150,,,Y
CALC-PEN-010,CALC,GLOBAL,가산세 계산,userPenaltyInputs,"RET-84-160-T,RET-84-160-A,RET-84-160-B","무신고/과소신고/납부지연 등 가산세를 법령+작성방법 기준으로 계산하고, 기한후/수정 감면(국기법 48조)을 적용.",,,,,PDF84 작성방법 13; 국세기본법 제48조; 국세기본법 시행령 제27조의4,T-PEN-010,,,Y
CALC-RET-180,CALC,GLOBAL,최종세액 계산,"RET-84-100,RET-84-110,RET-84-130,RET-84-160-T,RET-84-170",RET-84-180,⑱ 납부할 세액 = ⑩ - ⑪ - ⑫ - ⑬ - ⑭ - ⑮ + ⑯ - ⑰,KRW_INT,,,,메인 서식 산식,T-RET-180,,,Y
CALC-GIFT-159,CALC,ASSET,취득원인=부담부증여,"gift.assessedValue,gift.debtAmount,gift.giftValue,acquireCostBase",derived.assets[].giftSalePortion.*,"양도로 보는 부분(채무액 상당)에 대해 시행령 제159조 산식으로 양도가액/취득가액 안분: 양도가액=A×(B/C), 취득가액=A×(B/C) (A는 평가가액 또는 실지가 등).",KRW_INT,,,,소득세법 제88조(양도 정의); 소득세법 시행령 제159조,T-GIFT-159,,,Y
CALC-CARRY-972,CALC,ASSET,증여취득 + 이월과세 대상=예,"gift.fromSpouseOrLineal,transferDate,giftDate,donorAcquireCost,donationTaxPaid",derived.assets[].acquirePrice,"소득세법 제97조의2 적용: (1) 취득가액은 증여자의 취득 당시 금액(원칙), (2) 납부(또는 납부할) 증여세 상당액은 필요경비 산입, (3) 적용기간(10년/1년 등)은 자산유형별.",,,,,소득세법 제97조의2,T-CARRY-972,,,Y
OUT-PDF-001,OUT,GLOBAL,PDF 출력,case.assets[],pdf.pages[],자산 유형에 따라 메인+해당 부표 페이지만 포함(부표3 사용 시 포함). 첨부서류 체크리스트 페이지 포함.,,,,,제품 요구사항,T-OUT-PDF-001,,,Y
